Date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,optionid,contract_size,D to Expiration,Close,Moneyness
2000-01-10,C,1460.0,20.5,22.5,267,0.212445,0.508188,0.00742,10949021,100,12,1457.5999755859375,1.0016465590383243
2000-01-10,P,1460.0,16.25,17.5,259,0.167732,-0.493139,0.009398,11799565,100,12,1457.5999755859375,1.0016465590383243
2000-01-11,C,1440.0,20.0,21.25,14,0.212868,0.513452,0.007866,11623411,100,11,1438.56005859375,1.001000960229396
2000-01-11,P,1440.0,16.375,17.625,137,0.183284,-0.486487,0.009136,10563021,100,11,1438.56005859375,1.001000960229396
2000-01-12,C,1430.0,18.25,19.5,0,0.185919,0.54647,0.009476,11778044,100,10,1432.25,0.998429045208588
2000-01-12,P,1430.0,17.0,18.25,30,0.219724,-0.45871,0.00803,11274847,100,10,1432.25,0.998429045208588
2000-01-13,C,1450.0,13.75,15.0,6035,0.159128,0.522094,0.011663,11070856,100,9,1449.6800537109375,1.0002207013114677
2000-01-13,P,1450.0,16.0,17.25,6208,0.202859,-0.480364,0.009152,11803808,100,9,1449.6800537109375,1.0002207013114677
2000-01-14,C,1465.0,12.375,13.625,56,0.14964,0.527111,0.013109,11274505,100,8,1465.1500244140625,0.9998976047424752
2000-01-14,P,1465.0,10.125,11.375,1227,0.143439,-0.472068,0.013674,10526329,100,8,1465.1500244140625,0.9998976047424752
2000-01-14,C,1465.0,35.25,37.25,5,0.178191,0.549749,0.004894,10136376,100,36,1465.1500244140625,0.9998976047424752
2000-01-14,P,1465.0,27.625,29.625,618,0.179662,-0.450162,0.004855,10972804,100,36,1465.1500244140625,0.9998976047424752
2000-01-18,C,1460.0,10.0,10.25,896,0.229535,0.449379,0.013069,10949021,100,4,1455.1400146484375,1.0033398747217714
2000-01-18,P,1460.0,10.375,11.625,554,0.166121,-0.572461,0.017903,11799565,100,4,1455.1400146484375,1.0033398747217714
2000-01-18,C,1450.0,39.875,41.875,4737,0.203974,0.568638,0.004544,10251188,100,32,1455.1400146484375,0.9964676837990196
2000-01-18,P,1450.0,27.0,28.5,6565,0.19922,-0.430292,0.00465,11517239,100,32,1455.1400146484375,0.9964676837990196
2000-01-19,C,1460.0,8.5,9.5,468,0.249108,0.449735,0.014742,10949021,100,3,1455.9000244140625,1.0028161106650078
2000-01-19,P,1460.0,7.0,8.0,1407,0.127457,-0.602649,0.028077,11799565,100,3,1455.9000244140625,1.0028161106650078
2000-01-19,C,1450.0,40.75,42.75,588,0.210828,0.570237,0.004463,10251188,100,31,1455.9000244140625,0.9959475071673022
2000-01-19,P,1450.0,24.0,26.0,2607,0.18705,-0.423783,0.005016,11517239,100,31,1455.9000244140625,0.9959475071673022
2000-01-20,C,1450.0,2.5,3.0,16349,0.150383,0.357566,0.032802,11070856,100,2,1445.5699462890625,1.0030645723662903
2000-01-20,P,1450.0,5.5,6.5,17024,0.115923,-0.682798,0.04062,11803808,100,2,1445.5699462890625,1.0030645723662903
2000-01-20,C,1450.0,31.5,31.75,9846,0.191051,0.516559,0.005116,10251188,100,30,1445.5699462890625,1.0030645723662903
2000-01-20,P,1450.0,30.375,31.625,11088,0.194648,-0.48262,0.005022,11517239,100,30,1445.5699462890625,1.0030645723662903
2000-01-21,C,1450.0,27.0,29.0,555,0.182399,0.498243,0.005479,10251188,100,29,1441.3599853515625,1.005994348903983
2000-01-21,P,1450.0,28.75,30.75,1386,0.179814,-0.50207,0.005557,11517239,100,29,1441.3599853515625,1.005994348903983
2000-01-24,C,1400.0,34.625,36.625,565,0.218892,0.54673,0.004935,10150117,100,26,1401.530029296875,0.9989083150093884
2000-01-24,P,1400.0,27.875,29.875,6086,0.221358,-0.453534,0.00488,11625626,100,26,1401.530029296875,0.9989083150093884
2000-01-25,C,1400.0,36.75,37.25,3992,0.199754,0.594756,0.005367,10150117,100,25,1410.030029296875,0.9928866555403244
2000-01-25,P,1400.0,23.5,24.75,5515,0.217629,-0.411185,0.004944,11625626,100,25,1410.030029296875,0.9928866555403244
2000-01-26,C,1400.0,34.375,36.375,3121,0.217983,0.558709,0.005136,10150117,100,24,1404.0899658203125,0.9970871055844892
2000-01-26,P,1400.0,24.5,25.375,2863,0.209192,-0.439732,0.005349,11625626,100,24,1404.0899658203125,0.9970871055844892
2000-01-27,C,1400.0,30.0,31.5,728,0.21176,0.529561,0.005472,10150117,100,23,1398.56005859375,1.0010295885381553
2000-01-27,P,1400.0,25.0,27.0,2216,0.202596,-0.47002,0.005719,11625626,100,23,1398.56005859375,1.0010295885381553
2000-02-07,C,1425.0,18.625,19.875,394,0.186083,0.521941,0.008658,10156700,100,12,1424.239990234375,1.0005336247899483
2000-02-07,P,1425.0,20.125,22.125,267,0.223265,-0.479353,0.007217,11008864,100,12,1424.239990234375,1.0005336247899483
2000-02-08,C,1450.0,12.875,14.125,1873,0.170631,0.448155,0.009714,10251188,100,11,1441.719970703125,1.005743160575654
2000-02-08,P,1450.0,20.75,22.75,893,0.195559,-0.543736,0.008497,11517239,100,11,1441.719970703125,1.005743160575654
2000-02-09,C,1410.0,20.0,21.25,26,0.211606,0.538541,0.008465,10938065,100,10,1411.7099609375,0.9987887306990704
2000-02-09,P,1410.0,16.625,17.875,174,0.215917,-0.46196,0.008297,11352009,100,10,1411.7099609375,0.9987887306990704
2000-02-10,C,1420.0,14.125,15.375,1633,0.184045,0.491656,0.010332,11117001,100,9,1416.8299560546875,1.0022374201870632
2000-02-10,P,1420.0,20.25,21.5,549,0.241304,-0.503384,0.007882,10884478,100,9,1416.8299560546875,1.0022374201870632
2000-02-11,C,1390.0,17.75,19.0,17,0.248097,0.495926,0.00837,10100906,100,8,1387.1199951171875,1.0020762478321634
2000-02-11,P,1390.0,15.5,16.5,510,0.200057,-0.508025,0.010379,10689031,100,8,1387.1199951171875,1.0020762478321634
2000-02-11,C,1390.0,40.25,42.25,276,0.226157,0.534675,0.004091,10910871,100,36,1387.1199951171875,1.0020762478321634
2000-02-11,P,1390.0,33.875,35.875,364,0.218356,-0.465067,0.004237,10184183,100,36,1387.1199951171875,1.0020762478321634
2000-02-14,C,1390.0,15.75,17.0,22,0.274895,0.514112,0.009968,10100906,100,5,1389.93994140625,1.000043209488382
2000-02-14,P,1390.0,12.0,12.875,685,0.221488,-0.484985,0.01237,10689031,100,5,1389.93994140625,1.000043209488382
2000-02-14,C,1390.0,40.375,42.375,788,0.230116,0.543822,0.004187,10910871,100,33,1389.93994140625,1.000043209488382
2000-02-14,P,1390.0,31.625,33.625,842,0.220488,-0.455427,0.004369,10184183,100,33,1389.93994140625,1.000043209488382
2000-02-15,C,1400.0,12.5,13.75,9794,0.231155,0.541193,0.013505,10150117,100,4,1402.050048828125,0.9985378205080208
2000-02-15,P,1400.0,7.875,8.875,7922,0.191045,-0.45179,0.016308,11625626,100,4,1402.050048828125,0.9985378205080208
2000-02-15,C,1400.0,38.375,39.0,7127,0.208907,0.554694,0.00463,10126667,100,32,1402.050048828125,0.9985378205080208
2000-02-15,P,1400.0,28.875,30.875,8400,0.210757,-0.445571,0.004589,11305405,100,32,1402.050048828125,0.9985378205080208
2000-02-16,C,1390.0,9.0,10.0,157,0.253955,0.475008,0.015263,10100906,100,3,1387.6700439453125,1.001679041833362
2000-02-16,P,1390.0,10.5,11.75,583,0.247678,-0.525811,0.015648,10689031,100,3,1387.6700439453125,1.001679041833362
2000-02-16,C,1390.0,34.5,36.5,2,0.21289,0.528344,0.004695,10910871,100,31,1387.6700439453125,1.001679041833362
2000-02-16,P,1390.0,31.625,33.625,637,0.216886,-0.471056,0.004609,10184183,100,31,1387.6700439453125,1.001679041833362
2000-02-17,C,1390.0,2.0,2.875,1247,0.108169,0.424674,0.049848,10100906,100,2,1388.260009765625,1.0012533604815634
2000-02-17,P,1390.0,10.0,11.0,1296,0.335228,-0.521306,0.016354,10689031,100,2,1388.260009765625,1.0012533604815634
2000-02-17,C,1390.0,28.875,30.875,1934,0.195326,0.50363,0.005197,10910871,100,30,1388.260009765625,1.0012533604815634
2000-02-17,P,1390.0,34.5,35.5,1793,0.221867,-0.490078,0.004575,10184183,100,30,1388.260009765625,1.0012533604815634
2000-02-18,C,1350.0,35.0,39.0,2250,0.241435,0.52322,0.004425,11270247,100,29,1346.0899658203125,1.0029047346603648
2000-02-18,P,1350.0,32.0,33.5,8398,0.227835,-0.476941,0.004689,11630621,100,29,1346.0899658203125,1.0029047346603648
2000-02-22,C,1350.0,31.25,33.25,4356,0.205724,0.552098,0.005545,11270247,100,25,1352.1700439453125,0.9983951397569932
2000-02-22,P,1350.0,31.875,33.875,6156,0.264463,-0.454118,0.004322,11630621,100,25,1352.1700439453125,0.9983951397569932
2000-02-23,C,1365.0,28.875,30.875,548,0.216404,0.51512,0.005393,10026760,100,24,1360.68994140625,1.0031675537994318
2000-02-23,P,1365.0,28.5,30.5,594,0.219483,-0.484786,0.005318,10062046,100,24,1360.68994140625,1.0031675537994318
2000-02-24,C,1350.0,31.75,33.75,5157,0.215167,0.55655,0.005524,11270247,100,23,1353.4300537109375,0.9974656586784572
2000-02-24,P,1350.0,25.75,27.75,5172,0.232343,-0.445999,0.00512,11630621,100,23,1353.4300537109375,0.9974656586784572
2000-03-06,C,1390.0,20.5,22.5,100,0.203345,0.537518,0.008087,10910871,100,12,1391.280029296875,0.9990799628615944
2000-03-06,P,1390.0,16.375,17.625,316,0.195564,-0.461541,0.008407,10184183,100,12,1391.280029296875,0.9990799628615944
2000-03-07,C,1350.0,21.5,24.125,1440,0.208978,0.57306,0.008365,11270247,100,11,1355.6199951171875,0.9958542990384988
2000-03-07,P,1350.0,18.875,20.5,5912,0.261978,-0.438491,0.006706,11630621,100,11,1355.6199951171875,0.9958542990384988
2000-03-08,C,1365.0,19.0,20.25,2533,0.20729,0.539499,0.008924,10026760,100,10,1366.699951171875,0.998756163581906
2000-03-08,P,1365.0,18.5,19.75,2598,0.244629,-0.464362,0.007569,10062046,100,10,1366.699951171875,0.998756163581906
2000-03-09,C,1400.0,18.75,20.0,12579,0.212509,0.537909,0.009006,10126667,100,9,1401.68994140625,0.998794354331633
2000-03-09,P,1400.0,14.5,15.25,8030,0.200357,-0.460535,0.009548,11305405,100,9,1401.68994140625,0.998794354331633
2000-03-10,C,1395.0,16.875,18.125,147,0.216333,0.521703,0.009531,11037616,100,8,1395.0699462890625,0.9999498618049592
2000-03-10,P,1395.0,11.625,12.875,160,0.169516,-0.47525,0.012158,10384710,100,8,1395.0699462890625,0.9999498618049592
2000-03-13,C,1385.0,12.75,14.0,71,0.235578,0.499282,0.011692,11709273,100,5,1383.6199951171875,1.0009973872072409
2000-03-13,P,1385.0,14.0,15.25,77,0.248864,-0.50014,0.011067,11698533,100,5,1383.6199951171875,1.0009973872072409
2000-03-14,C,1360.0,14.25,15.5,10,0.30447,0.503533,0.010633,10401518,100,4,1359.1500244140625,1.0006253728953167
2000-03-14,P,1360.0,13.0,14.25,1238,0.275266,-0.497205,0.011762,11250641,100,4,1359.1500244140625,1.0006253728953167
2000-03-15,C,1390.0,15.375,16.625,1316,0.356957,0.533504,0.010807,10910871,100,3,1392.1400146484375,0.9984627877757124
2000-03-15,P,1390.0,10.125,11.375,8653,0.292346,-0.461223,0.01318,10184183,100,3,1392.1400146484375,0.9984627877757124
2000-03-16,C,1460.0,6.0,7.0,2353,0.233829,0.473738,0.022301,10778646,100,2,1458.469970703125,1.0010490646551586
2000-03-16,P,1460.0,6.0,7.0,453,0.191496,-0.533034,0.027196,10724497,100,2,1458.469970703125,1.0010490646551586
2000-03-17,C,1475.0,36.5,38.5,10720,0.212202,0.505527,0.004145,10934510,100,36,1464.469970703125,1.0071903347337463
2000-03-17,P,1475.0,32.375,34.375,1177,0.179287,-0.497898,0.004907,11509708,100,36,1464.469970703125,1.0071903347337463
2000-03-20,C,1450.0,44.5,46.0,3853,0.219491,0.573826,0.004142,10725205,100,33,1456.6300048828125,0.9954483946777232
2000-03-20,P,1450.0,27.625,29.625,7184,0.206745,-0.423202,0.004391,10987553,100,33,1456.6300048828125,0.9954483946777232
2000-03-21,C,1500.0,32.5,34.5,4034,0.187965,0.519401,0.004869,11133473,100,32,1493.8699951171875,1.0041034393239363
2000-03-21,P,1500.0,32.5,34.5,340,0.197988,-0.480446,0.004623,10588311,100,32,1493.8699951171875,1.0041034393239363
